product_id,product_name,rating,rating_count,discounted_price,actual_price,category_1,category_2,img_link_y,sale_rate
22,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",4.2,179692.0,749.0,1339.0,ComputersandAccessories,Networking Devices,https://m.media-amazon.com/images/I/31Wb+A3VVdL._SY300_SX300_.jpg,0.4406273338312173
27,SanDisk Cruzer Blade 32GB USB Flash Drive,4.3,253105.0,289.0,650.0,ComputersandAccessories,External DevicesandData Storage,https://m.media-amazon.com/images/I/310mw9KTJvL._SY300_SX300_QL70_FMwebp_.jpg,0.5553846153846154
76,"Hp Wired On Ear Headphones With Mic With 3.5 Mm Drivers, In-Built Noise Cancelling, Foldable And Adjustable For Laptop/Pc/Office/Home/ 1 Year Warranty (B4B09Pa)",3.5,7222.0,649.0,999.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31eE6slx4EL._SX300_SY300_QL70_FMwebp_.jpg,0.35035035035035034
92,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",4.2,156638.0,1469.0,2499.0,ComputersandAccessories,Networking Devices,https://m.media-amazon.com/images/I/21n1BGPOHBL._SX300_SY300_QL70_FMwebp_.jpg,0.4121648659463786
117,"Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black",4.1,2957.0,299.0,699.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31RK9+CyhoL._SY300_SX300_.jpg,0.5722460658082976
125,Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers 35cm,3.8,2399.0,259.0,699.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41oK+rXtssS._SY300_SX300_.jpg,0.6294706723891274
172,GIZGA essentials Universal Silicone Keyboard Protector Skin for 15.6-inches Laptop (5 x 6 x 3 inches),3.5,15233.0,39.0,299.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/51YPXDh78VL._SX300_SY300_QL70_FMwebp_.jpg,0.8695652173913043
174,"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black",4.4,22618.0,2595.0,3295.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41hzQslWQlL._SX300_SY300_QL70_FMwebp_.jpg,0.212443095599393
200,"Amazon Basics USB 3.0 Cable - A Male to Micro B - 6 Feet (1.8 Meters), Black",4.3,10911.0,299.0,485.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41p9mn0fmIL._SY300_SX300_QL70_FMwebp_.jpg,0.3835051546391753
234,"Amkette 30 Pin to USB Charging & Data Sync Cable for iPhone 3G/3GS/4/4s/iPad 1/2/3, iPod Nano 5th/6th Gen and iPod Touch 3rd/4th Gen -1.5m (Black)",4.0,3231.0,449.0,599.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31Lqjmed98L._SX300_SY300_QL70_FMwebp_.jpg,0.25041736227045075
278,"Logitech MK215 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Design, 2-Year Battery Life(Keyboard),5 Month Battery Life(Mouse) PC/Laptop- Black",4.1,25771.0,1295.0,1795.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31SAqKSRWyL._SX300_SY300_QL70_FMwebp_.jpg,0.2785515320334262
309,"boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Metallic Silver)",4.1,5626.0,799.0,1749.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41VKU5Lkg3L._SX300_SY300_QL70_FMwebp_.jpg,0.5431675242995998
319,"RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router | Mini UPS | Up to 4 Hours PowerBackup | Battery Replacement Program | Router UPS Compatible with 12V <2A Routers, FTTH, Modem, Set Top Box, Alexa, Mini Camera",4.3,20342.0,1799.0,2911.0,ComputersandAccessories,Networking Devices,https://m.media-amazon.com/images/I/318egjvJ0mL._SX300_SY300_QL70_FMwebp_.jpg,0.38199931295087597
355,"SanDisk Ultra 64 GB USB Pen Drives (SDDDC2-064G-I35, Black, Silver)",4.3,82356.0,729.0,1650.0,ComputersandAccessories,External DevicesandData Storage,https://m.media-amazon.com/images/I/315HWKLDHlL._SY300_SX300_QL70_FMwebp_.jpg,0.5581818181818182
386,"AmazonBasics USB Type-C to USB Type-C 2.0 Cable for Charging Adapter, Smartphone - 9 Feet (2.7 Meters) - White",4.2,29746.0,549.0,995.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41pOYlC-U8L._SX300_SY300_QL70_FMwebp_.jpg,0.4482412060301508
405,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),4.6,33434.0,299.0,550.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41NYfAbBY2L._SX300_SY300_QL70_FMwebp_.jpg,0.45636363636363636
428,HP v222w 64GB USB 2.0 Pen Drive (Silver),4.2,4959.0,449.0,1300.0,ComputersandAccessories,External DevicesandData Storage,https://m.media-amazon.com/images/I/31cOcZC4n7L._SX300_SY300_QL70_FMwebp_.jpg,0.6546153846153846
650,boAt Rugged V3 Braided Micro USB Cable (Pearl White),4.2,94363.0,299.0,799.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31mfWNStU9L._SX300_SY300_QL70_FMwebp_.jpg,0.6257822277847309
756,"KLAM LCD Writing Tablet Screenwriting Toys Board Smart Digital E-Note Pad 8.5 Inch Light Weight Magic Slate for Drawing Playing Noting by Kids and Adults Best Birthday Gift Girls Boys, Multicolor",4.1,21.0,175.0,499.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41KYzWomjVL._SX300_SY300_QL70_FMwebp_.jpg,0.6492985971943888
766,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293",4.4,6301.0,629.0,1390.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/31C+JNS-7PL._SY300_SX300_.jpg,0.5474820143884892
801,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",4.2,24269.0,399.0,1099.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/41rB0DnVFmL._SX300_SY300_QL70_FMwebp_.jpg,0.6369426751592356
806,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",4.2,24269.0,399.0,1099.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,0.6369426751592356
832,Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,3.9,17348.0,448.0,699.0,ComputersandAccessories,AccessoriesandPeripherals,https://m.media-amazon.com/images/I/3164hjUSFdL._SX300_SY300_QL70_FMwebp_.jpg,0.3590844062947067
